,posErrX,posErrY,posErrZ,velErrX,velErrY,velErrZ,orientErrR,orientErrP,orientErrY,accBiasX,accBiasY,accBiasZ,gyrBiasX,gyrBiasY,gyrBiasZ
1456,0.012835044247099844,0.03532607637227987,0.0036323114263980875,0.020981702467687713,0.05928760651857364,0.005076800258928298,0.00020094754823196033,0.0004779186420710203,0.01631737440812542,0.01691613670613687,-0.05727922388032017,0.01775109258386676,9.348990651427707e-05,-4.701491550552284e-05,-0.0020077036465170543
1457,0.002937693289296238,-0.018592629139412217,0.003096382520702239,0.009955420022062815,-0.03142366569850852,0.005246093646374898,6.99812413317557e-05,-8.291355151071646e-05,-0.009266334341762576,0.016766546514870938,-0.05871747418584875,0.018255868310377236,9.038074642784037e-05,-5.0503108645742834e-05,-0.0032457416753890554
1458,0.00019087817948926458,-0.03438726452639581,-0.005568121079313777,0.007220720892058696,-0.05879961846993276,-0.004067111828282285,3.652980513077256e-05,-0.0001785875954064099,-0.01723766518996296,0.01609765165510831,-0.060131756249312385,0.016984038095632644,8.582971283013688e-05,-5.7007273383723454e-05,-0.0055494575226573625
1459,0.01594059265759132,0.029054440657050568,-0.007110336829271005,0.025744473196319003,0.04946373989537073,-0.006731045507808939,0.00029315160344437873,0.0005088066175566279,0.013565602865749357,0.019546226747535835,-0.061232901245522234,0.015889289560691966,9.626733444026741e-05,-5.354601567913193e-05,-0.0034432063452876725
1460,0.0029661516408919586,-0.01893009812272058,-0.012415824848479631,0.010774233041863517,-0.032827394062122456,-0.012036146216176484,7.935782667460444e-05,2.472546237341455e-05,-0.009869629879366517,0.02008267498773439,-0.06216526325780291,0.013421679537027692,9.605551946676012e-05,-5.7342165900099364e-05,-0.004699321014898378
1461,-0.006074908758850143,-0.030181733193451667,-0.004586726297795408,-0.0005886659792490364,-0.052496499779947976,-0.0033696622860878286,-9.380610151265607e-05,-0.00023397254281204164,-0.0154913963087412,0.018794796654856137,-0.062402477664168246,0.012341590603532829,8.879900573368385e-05,-6.077589086924173e-05,-0.006669061084554437
1462,0.013590361980521399,0.033644282507890914,0.0005909799008638917,0.023828067459612617,0.057989606144890495,0.001327293472946628,0.0002536861912047526,0.00041059433426718063,0.016036796238124207,0.02147384727357273,-0.06301867491079167,0.012727707676881016,9.572793683423633e-05,-5.5015223041281104e-05,-0.004146355450117083
1463,-0.0030241190070352114,-0.014941531443367219,-0.004243662738441337,0.0026231340541144777,-0.026293032736600747,-0.003241331138976857,-4.2187805888034997e-05,-8.985398522253884e-05,-0.007935369866786007,0.02100341206000446,-0.06309114265023319,0.011819820671210474,9.138434779432775e-05,-5.599898769509771e-05,-0.0050826319905501564
1464,0.017861014591634562,0.03473403351413721,-0.005309799271960792,0.030132156173442795,0.060171046124178174,-0.005323687856037414,0.0003465095991304624,0.0004943235971864376,0.01696452750274871,0.024353947466510137,-0.0640138069985456,0.011102547689653946,0.00010093114035013367,-5.1192518706114086e-05,-0.0024967287620988408
1465,-0.0031218378256204975,-0.016263689854999423,-0.00315031968287551,0.002812970944903779,-0.028746470754399435,-0.0022047310649615983,-3.941866878802431e-05,-9.281881328029202e-05,-0.00835774338186632,0.023929154622353684,-0.06423501191025996,0.010401797536410694,9.651635609364202e-05,-5.260186235476772e-05,-0.003569857718367919
